id;count;image_id;label;system:time_start;geometry;date;date_ymd;
217;1083;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-7.5084795720207484 39.60878559195214, -7.508296756389746 39.608785592848086, -7.508296756389746 39.6078893310095, -7.508029266519721 39.607889326597515, -7.508029266519721 39.607800138549976, -7.507940048387174 39.60780011435325, -7.507940048387174 39.60771092616515, -7.507850830369943 39.607710980251774, -7.507850830369943 39.60717138105943, -7.507578881347413 39.607171350456305, -7.507578881347413 39.606270675263225, -7.507400528970604 39.606270620256424, -7.507400528970604 39.605913935988916, -7.507132959965319 39.60591393380391, -7.507132959965319 39.60573108424139, -7.506950147900851 39.60573108191036, -7.506950147900851 39.60555269916992, -7.506504230580779 39.60555271728605, -7.506504230580779 39.605374333913026, -7.506232204256657 39.60537438273634, -7.506232204256657 39.60519153133345, -7.506143071054182 39.605191578257816, -7.506143071054182 39.6051023860667, -7.506053855359752 39.60510235987149, -7.506053855359752 39.60492397507938, -7.505781830810794 39.60492402252694, -7.505781830810794 39.60474563714818, -7.505335921039298 39.60474564965082, -7.505335921039298 39.604562796144904, -7.505063899320209 39.604562841542595, -7.505063899320209 39.60438445493174, -7.504885553442559 39.604384473427764, -7.504885553442559 39.60420608625489, -7.504613533498757 39.604206051936835, -7.504613533498757 39.603488186987676, -7.504435188785054 39.603488204464306, -7.504435188785054 39.60204790310404, -7.504346057903566 39.60204786967398, -7.504346057903566 39.601869475612865, -7.504435188785054 39.60186950906651, -7.504435188785054 39.60115161678219, -7.504256844532285 39.60115163333344, -7.504256844532285 39.60079045008202, -7.503806483978084 39.60079042839357, -7.503806483978084 39.600612030560136, -7.503088573038715 39.60061207031927, -7.503088573038715 39.60043367178174, -7.502370669569111 39.60043370632474, -7.502370669569111 39.60025083925716, -7.501741900971914 39.60025082620576, -7.501741900971914 39.59971578162227, -7.50146989342154 39.59971573715577, -7.50146989342154 39.5998941381924, -7.501024011515303 39.59989412874513, -7.501024011515303 39.59971580597473, -7.50075200679551 39.599715759603605, -7.50075200679551 39.599532968358375, -7.500573589462799 39.59953298341808, -7.500573589462799 39.59908705504873, -7.500301586519055 39.59908700722952, -7.500301586519055 39.598007954999474, -7.500395255191846 39.59800793387358, -7.500395255191846 39.597289992446704, -7.500123252951308 39.59729002181796, -7.500123252951308 39.59692881379281, -7.50021246097759 39.59692884623009, -7.50021246097759 39.59683964133081, -7.500395255191846 39.59683965807866, -7.500395255191846 39.59638924204164, -7.49994491984461 39.596389278848626, -7.49994491984461 39.596928821731986, -7.499672919379865 39.59692884976365, -7.499672919379865 39.59800792183474, -7.4998557121643294 39.59800793922882, -7.4998557121643294 39.59818626723465, -7.499766504599421 39.59818631303911, -7.499766504599421 39.59836464055378, -7.499672919379865 39.59836465581389, -7.499672919379865 39.598547450805846, -7.4998557121643294 39.59854746805413, -7.4998557121643294 39.59908707055438, -7.49958371205136 39.59908702083063, -7.49958371205136 39.59971574141278, -7.4998557121643294 39.59971579088349, -7.4998557121643294 39.59980491329499, -7.50021246097759 39.59980496894523, -7.50021246097759 39.599894169564784, -7.500301586519055 39.59989412848977, -7.500301586519055 39.5999833289689, -7.500395255191846 39.59998330757041, -7.500395255191846 39.600072507908486, -7.500573589462799 39.60007249835848, -7.500573589462799 39.600250898601395, -7.50075200679551 39.60025088335271, -7.50075200679551 39.600344472704734, -7.501024011515303 39.60034451882281, -7.501024011515303 39.60043371855668, -7.501920238724128 39.600433681455755, -7.501920238724128 39.600612080301175, -7.502638220109788 39.600612043380075, -7.502638220109788 39.6007904415214, -7.503356126363294 39.60079040472673, -7.503356126363294 39.60097326993146, -7.503806483978084 39.60097321509471, -7.503806483978084 39.60132992977983, -7.5039848270668585 39.601329992346436, -7.5039848270668585 39.601869488879956, -7.503895614162609 39.60186953875952, -7.503895614162609 39.602047854558734, -7.5037172713044145 39.602047870407304, -7.5037172713044145 39.602770220676156, -7.5039848270668585 39.60277023301937, -7.5039848270668585 39.603127015616025, -7.504167631276349 39.60312694555953, -7.504167631276349 39.60330533603732, -7.504078500740459 39.60330538091978, -7.504078500740459 39.60339896518587, -7.5039848270668585 39.6033989904208, -7.5039848270668585 39.60402774142402, -7.504078500740459 39.60402771610231, -7.504078500740459 39.60420610400291, -7.504167631276349 39.60420605900249, -7.504167631276349 39.60438444636469, -7.504435188785054 39.60438445689408, -7.504435188785054 39.60456284367068, -7.504613533498757 39.60456282591115, -7.504613533498757 39.60474560123524, -7.505063899320209 39.604745616745, -7.505063899320209 39.60492400231308, -7.505335921039298 39.604924035147114, -7.505335921039298 39.60510234175191, -7.505514268080868 39.605102400659824, -7.505514268080868 39.605285174144356, -7.505781830810794 39.60528518080288, -7.505781830810794 39.6054635646238, -7.506143071054182 39.60546354310715, -7.506143071054182 39.60555273477687, -7.506232204256657 39.605552766180956, -7.506232204256657 39.605913920540985, -7.506504230580779 39.60591394987641, -7.506504230580779 39.60609225331632, -7.506950147900851 39.606092313219705, -7.506950147900851 39.60663184418185, -7.507132959965319 39.60663184626943, -7.507132959965319 39.606810225845656, -7.507400528970604 39.60681022767613, -7.507400528970604 39.60752812944171, -7.507578881347413 39.60752810574278, -7.507578881347413 39.60824599897622, -7.507850830369943 39.6082460291468, -7.507850830369943 39.60878561895166, -7.507761695077144 39.60878558938256, -7.507761695077144 39.60914680239709, -7.508029266519721 39.60914680166225, -7.508029266519721 39.610225882165985, -7.508118402158043 39.610225911311936, -7.508118402158043 39.610404201880115, -7.508390435916049 39.6104042244027, -7.508390435916049 39.610225855536726, -7.5084795720207484 39.61022588436862, -7.5084795720207484 39.60878559195214));13.01.2025 11:30;13.01.2025;2880
000000000000000000f9;53;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.833304817750763 39.81180845498594, -6.832676079485506 39.811808448113545, -6.832676079485506 39.81162564645194, -6.832314933923144 39.811625661511776, -6.8323149339231435 39.81189759650864, -6.832408573148648 39.81189762980156, -6.832408573148649 39.81198684109359, -6.832497714545156 39.8119868266049, -6.832497714545156 39.81207603775579, -6.832408573148647 39.81207597406837, -6.832408573148648 39.812165185099545, -6.832314933923144 39.812165151840425, -6.8323149339231435 39.81234357353388, -6.83213656997169 39.812343528836294, -6.832136569971689 39.81270474915845, -6.832225710995959 39.81270473481897, -6.832225710995959 39.812526392346854, -6.832408573148648 39.81252632815982, -6.832408573148647 39.81243719584316, -6.832586937844916 39.81243716186178, -6.8325869378449156 39.81225436206257, -6.832765303029578 39.812254327816575, -6.832765303029577 39.81216519514512, -6.832854444914256 39.812165180326964, -6.832854444914256 39.81207596934919, -6.832943668702632 39.812076027831715, -6.832943668702633 39.81198681673424, -6.833126451088848 39.811986834413474, -6.833126451088847 39.81189762320743, -6.833304817750763 39.81189766630104, -6.833304817750763 39.81180845498594), (-6.832854444914256 39.811897625189125, -6.832676079485506 39.81189765950396, -6.832676079485506 39.81198679257706, -6.832854444914256 39.811986836427764, -6.832854444914256 39.811897625189125));13.01.2025 11:30;13.01.2025;
90;38;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.809769711352033 39.839833903347014, -6.809591327430914 39.83983390924086, -6.809591327430914 39.83974473597603, -6.809319337857173 39.83974469089707, -6.809319337857173 39.83965551746915, -6.809140955171808 39.83965552254194, -6.8091409551718085 39.84019509416024, -6.809230146453309 39.84019509159801, -6.8092301464533085 39.840373436764196, -6.809408529383405 39.84037343136595, -6.809408529383405 39.840284258869424, -6.809497639279747 39.840284260867406, -6.809497639279746 39.84019508825092, -6.809680519330292 39.84019505276887, -6.809680519330292 39.8400122524491, -6.809769711352032 39.84001224944235, -6.809769711352033 39.839833903347014));13.01.2025 11:30;13.01.2025;
0.00E+00;28;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.831057400791076 39.773446792842954, -6.830968261365703 39.7734468014818, -6.830968261365703 39.77353599090152, -6.830789901101948 39.77353601278639, -6.830789901101948 39.77398633924024, -6.830517904684593 39.773986321211865, -6.830517904684593 39.77416469845483, -6.830161187112181 39.77416474066066, -6.830161187112181 39.77425838854965, -6.830611541326635 39.77425838597741, -6.830611541326635 39.77416473814503, -6.830879040283211 39.77416470784736, -6.830879040283211 39.7740755193342, -6.830968261365703 39.774075505880305, -6.830968261365703 39.77380801782802, -6.831057400791076 39.773808009145974, -6.831057400791076 39.773446792842954));13.01.2025 11:30;13.01.2025;
000000000000000001d6;26;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.993743264795059 39.81422978031069, -6.993564871195181 39.814229756463355, -6.993564871195181 39.81414056798325, -6.993114544274554 39.81414053458912, -6.993114544274554 39.81432336703789, -6.992846956603181 39.814323407718746, -6.992846956603182 39.81450178418981, -6.9933865600592435 39.814501747578156, -6.993386560059243 39.814412559473936, -6.993564871195181 39.81441258853149, -6.993564871195181 39.81432340031875, -6.99374326479506 39.81432342414308, -6.993743264795059 39.81422978031069));13.01.2025 11:30;13.01.2025;
0000000000000000008d;23;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.8091409551718085 39.84135893948825, -6.809051764012672 39.84135894211223, -6.809051764012672 39.841269771016435, -6.808779776696317 39.84126972507152, -6.808779776696317 39.84180928264631, -6.8091409551718085 39.84180924756572, -6.8091409551718085 39.84135893948825));13.01.2025 11:30;13.01.2025;
144;21;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.843453711792635 39.73500044314245, -6.843364555408783 39.73500045788766, -6.843364555408782 39.73491129206845, -6.843186161212264 39.734911247847464, -6.843186161212265 39.73482208187705, -6.843007849298207 39.7348220325011, -6.843007849298207 39.73473286637949, -6.842825039195352 39.73473292548135, -6.842825039195353 39.73500042352253, -6.842646646475066 39.7350004566749, -6.842646646475065 39.73508962245049, -6.843453711792634 39.73508960882123, -6.843453711792635 39.73500044314245));13.01.2025 11:30;13.01.2025;
000000000000000001ec;19;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-7.257400980628822 39.68208870667468, -7.2571289573280415 39.68208873693079, -7.2571289573280415 39.681821161973566, -7.2569505995284995 39.68182120336406, -7.2569505995284995 39.68236073741333, -7.2570398195225625 39.68236071411302, -7.2570398195225625 39.68244990512349, -7.2571289573280415 39.682449965191275, -7.2571289573280415 39.6822671195887, -7.257400980628822 39.68226708926339, -7.257400980628822 39.68208870667468));13.01.2025 11:30;13.01.2025;
0.00E+00;18;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.83078990110195 39.804977112498584, -6.8305179046845925 39.80497710579372, -6.830517904684593 39.80533829232502, -6.830250325432949 39.805338259485886, -6.830250325432948 39.80551662344602, -6.8300719671353125 39.80551665173511, -6.8300719671353125 39.805699472341956, -6.8302503254329485 39.805699522204335, -6.830250325432949 39.805605844328205, -6.830339545654161 39.80560582764869, -6.830339545654162 39.805516684972545, -6.830517904684593 39.80551665622099, -6.830517904684593 39.80542751343592, -6.830611541326635 39.805427470981165, -6.830611541326635 39.80507074219129, -6.830789901101949 39.8050707130762, -6.83078990110195 39.804977112498584));13.01.2025 11:30;13.01.2025;
106;18;20250113T112431_20250113T112443_T29SPD;1;1.73677E+12;POLYGON ((-6.834201074683538 39.74730752386685, -6.834111930956158 39.74730753209432, -6.834111930956159 39.747218383078945, -6.833933562084377 39.74721840410006, -6.833933562084377 39.74730755313677, -6.833844336940199 39.7473075659516, -6.833844336940199 39.74793630177215, -6.833933562084377 39.74793628888207, -6.833933562084377 39.747575077737295, -6.834201074683538 39.7475751266405, -6.834201074683538 39.74730752386685));13.01.2025 11:30;13.01.2025;
